"y\x",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
1,"#","T","T",,,,,,,,,,,,,,,,,,,,,,,,,"W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,"H",,,,,,,,,,,,,,,,,,,,,,,,"T",,"T","T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U","U","U","U","U","#"
2,"#",,"T","T","T",,,,,,,,,,,,,,,"T",,,,,,,,"W","W","W","W","W","W",,"T",,,,,,,,"T",,,,"U","U",,,,,,,,,,,,,,,,,,,,,,,,,,"G",,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,"T",,,,,,,"G",,,,,,,,"U","U","U","U","U","#"
3,"#",,,,,"T","T",,,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W","W",,,,,,,,,,,"U","U","U","U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G","H",,"T",,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,"U","U","U","U","U","U","#"
4,"#",,,,,,,"T","T",,"T",,"T",,,,,,,,,,,,,,,"W","W","W","W","W","W","W","W","W",,,,,,,,,"U","U","U","U","U","U",,,"G",,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,"H",,"T","T",,,,,,,,,,"T",,,,,,,,,,,,,"T",,,,,,,,,,"U","U","U","U","U","U","#"
5,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W","W",,,,,,"G",,"T","U","U","KEY","U","U","U","T",,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T","T",,,,,,,,,,,,,,,,,,,,,,"U","U","U","U","U","U","U","#"
6,"#","U","U","U","U","U","U","U",,,"T",,,,,,,,,,,,,"T",,,,,"W","W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,"T","T",,,,,,,,,,,,,,,,,,,"H","U","U","U","U","U","U","U","#"
7,"#","U","U",,,,"U","U","U","H",,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,"H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T","T",,,,,,,,,,,,,,,,,"U","U","U","U","U","U","U","U","#"
8,"#","U","U",,"U",,"U","U","U","U",,,,,,,,,"T",,,,,,,,,,,"W","W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,"H",,,,,,,,,,,,"T",,,,,,,,,,,,,,"T",,,,,,,,,,,,"T","T",,,,,,,,,,,,,,"U","U","U","U","U","U","U","U","U","#"
9,"#","U","U",,,,"U","U","U","U","U",,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W","W",,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U","U","U","U","U","U","U","U","U","#"
10,"#","U","U",,"U","U","U","U","U","U","U","H",,,,,,,,,,,,"V",,,,,,,"W","W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G",,,,,,,,"R","R","R",,"C","U","U","U","U","U","U","U","U","#"
